Faculty Employee ID,Faculty Name,Academic Year,College,PAN Number,Chapter Title,DOI,Text Book Name,ISBN Number(Textbook),Year Of Publication,Month Of Publication,Publisher,Total Authors,Faculty Author Position,"Aditya Co-author positions ( if existing )
Emp Id only",,,,,,,
,,,,,,,,,,,,,,1,2,3,4,5,6,7,8
5741,k,2025-2026,AUS,ABC5689652,Sample Chapter ,1234578ch,sampletextbookname,1256489,2025,MAY,Elsevier,4,2,5660,,5694,4075,,,,
6125,ALL COLLEGE USER ,2025-2026,Aditya Engineering College,WUMBG7165K,Advances in Machine Learning - Chapter 1,10.1000/26864,Handbook of Machine Learning,978-8-846-72026-3,2025,June,IEEE,6,4,6946,,6170,,,,,
823,BALLA AKHIL GOWTHAM ,2025-2026,Aditya Engineering College,RUYLZ1427V,Advances in Green Computing - Chapter 2,10.1000/11005,Handbook of Green Computing,978-3-395-44065-5,2025,September,Springer,5,5,,4264,,,,,,
6509,BANDARU VENKATAKRISHNA ,2025-2026,Aditya University,ARJJI8470M,Advances in Green Computing - Chapter 3,10.1000/60166,Handbook of Green Computing,978-4-775-57644-5,2025,August,Elsevier,2,2,6125,,5555,5201,6807,,,
52,BHALLAMUDI PAVAN ,2025-2026,Aditya University,JIPDP7248P,Advances in Software Engineering - Chapter 4,10.1000/32385,Handbook of Software Engineering,978-8-239-49436-1,2025,October,IEEE,6,6,,3815,,,,,,
6602,BOLLA RAJESH ,2025-2026,Aditya Engineering College,TXIQF4091Q,Advances in Data Science - Chapter 5,10.1000/32886,Handbook of Data Science,978-4-206-36631-2,2025,July,Wiley,3,3,6048,,,,,6898,,
117,BORRA SURESH ,2025-2026,Aditya Engineering College,RUVFA8000D,Advances in Computer Vision - Chapter 6,10.1000/44922,Handbook of Computer Vision,978-6-550-32504-3,2025,December,Taylor & Francis,2,1,,4264,,,,,,
6807,BUDDHA HANUMANTHU ,2025-2026,Aditya Engineering College,SXBWI9036L,Advances in Cyber Security - Chapter 7,10.1000/14841,Handbook of Cyber Security,978-5-523-76650-5,2025,November,Wiley,6,2,,,,,,,,
6946,BULUSU KAMESWARA SARMA ,2025-2026,Aditya University,IKFUY7648K,Advances in Computer Vision - Chapter 8,10.1000/14219,Handbook of Computer Vision,978-3-469-45367-7,2025,June,Elsevier,2,2,6509,,52,,,,,
5150,CHELLUBOYENA SEETA MAHALAKSHMI ,2025-2026,Aditya Degree College,RVKTS9197D,Advances in Computer Vision - Chapter 9,10.1000/97844,Handbook of Computer Vision,978-1-813-45317-9,2025,September,Springer,4,1,,,,,,2210,,
411,CHINTAKAYALA VENKATA SAI ,2025-2026,Aditya Degree College,FPWUE4530K,Advances in Computer Vision - Chapter 10,10.1000/32776,Handbook of Computer Vision,978-8-883-39194-1,2025,August,Elsevier,2,1,,,,,,,,
3815,CHINTALAPUDI SAI RATNANJANI ,2025-2026,Aditya Degree College,ABYGX4754W,Advances in Blockchain - Chapter 11,10.1000/72509,Handbook of Blockchain,978-5-735-31686-6,2025,October,Elsevier,6,4,5404,6129,,,,,,
