Roll No,Name,Dept,Email,Phone,Branch,Program
21A91A0501,John Doe,CSE,john.doe@example.com,9876543210,Computer Science,B.Tech
21A91A0502,Jane Smith,ECE,jane.smith@example.com,8765432109,Electronics,B.Tech
21A91A0401,Mike Johnson,ME,mike.j@example.com,7654321098,Mechanical,M.Tech
22A95A0101,Sarah Wilson,CE,sarah.w@example.com,6543210987,Civil,B.Tech
21A91A1205,David Brown,IT,david.b@example.com,9988776655,Information Tech,B.Tech
21A91A1205_3960,David Brown_7266,IT_9280,david.b@example.com_3880,9988776706,Information Tech_4602,B.Tech_7062
21A91A0401_9331,Mike Johnson_4930,ME_4708,mike.j@example.com_2086,7654321106,Mechanical_7653,M.Tech_2204
21A91A0401_4233,Mike Johnson_2387,ME_1894,mike.j@example.com_7231,7654321187,Mechanical_9896,M.Tech_5705
21A91A0501_7867,John Doe_8297,CSE_5891,john.doe@example.com_4446,9876543263,Computer Science_4052,B.Tech_1671
21A91A0502_3880,Jane Smith_3547,ECE_5267,jane.smith@example.com_3240,8765432129,Electronics_5513,B.Tech_1577
21A91A0401_2251,Mike Johnson_8659,ME_4562,mike.j@example.com_5260,7654321171,Mechanical_7799,M.Tech_2923
21A91A1205_9013,David Brown_3996,IT_1936,david.b@example.com_6901,9988776750,Information Tech_7815,B.Tech_8306
21A91A0502_8133,Jane Smith_5426,ECE_6162,jane.smith@example.com_4290,8765432176,Electronics_6647,B.Tech_3628
21A91A0501_8514,John Doe_7206,CSE_1353,john.doe@example.com_7825,9876543242,Computer Science_1689,B.Tech_8263
21A91A1205_6515,David Brown_7340,IT_8157,david.b@example.com_4124,9988776667,Information Tech_2943,B.Tech_9352
21A91A0401_8237,Mike Johnson_6350,ME_1127,mike.j@example.com_1873,7654321180,Mechanical_9285,M.Tech_8483
21A91A0502_2313,Jane Smith_1171,ECE_8632,jane.smith@example.com_5263,8765432146,Electronics_6079,B.Tech_8714
21A91A0501_2139,John Doe_5635,CSE_1037,john.doe@example.com_6669,9876543243,Computer Science_5289,B.Tech_3008
21A91A1205_8949,David Brown_1092,IT_7412,david.b@example.com_4984,9988776672,Information Tech_6038,B.Tech_7256
22A95A0101_8852,Sarah Wilson_2860,CE_1491,sarah.w@example.com_3820,6543211021,Civil_3126,B.Tech_9504
21A91A0401_5159,Mike Johnson_4000,ME_5746,mike.j@example.com_8180,7654321155,Mechanical_6269,M.Tech_8529
21A91A0501_5396,John Doe_5068,CSE_1259,john.doe@example.com_2211,9876543214,Computer Science_6348,B.Tech_9539
21A91A1205_1327,David Brown_5381,IT_3846,david.b@example.com_3119,9988776691,Information Tech_6850,B.Tech_4633
21A91A0401_5287,Mike Johnson_7985,ME_2138,mike.j@example.com_4611,7654321136,Mechanical_6060,M.Tech_1784
21A91A0501_4745,John Doe_1517,CSE_8608,john.doe@example.com_8828,9876543278,Computer Science_2481,B.Tech_8300
21A91A0502_2767,Jane Smith_8596,ECE_6789,jane.smith@example.com_7577,8765432145,Electronics_6198,B.Tech_6574
22A95A0101_1115,Sarah Wilson_1028,CE_3875,sarah.w@example.com_1580,6543210990,Civil_7326,B.Tech_7749
21A91A0502_5779,Jane Smith_1335,ECE_7003,jane.smith@example.com_5898,8765432151,Electronics_2123,B.Tech_5445
21A91A0501_5180,John Doe_5420,CSE_6464,john.doe@example.com_2113,9876543241,Computer Science_5113,B.Tech_5520
21A91A0502_1362,Jane Smith_4720,ECE_9008,jane.smith@example.com_9942,8765432174,Electronics_8617,B.Tech_1514
21A91A0502_9334,Jane Smith_3429,ECE_5792,jane.smith@example.com_3823,8765432159,Electronics_8947,B.Tech_8600
21A91A0502_5332,Jane Smith_7141,ECE_6008,jane.smith@example.com_4767,8765432120,Electronics_6511,B.Tech_8024
21A91A0401_8576,Mike Johnson_9921,ME_1839,mike.j@example.com_8134,7654321151,Mechanical_7763,M.Tech_1398
21A91A1205_7061,David Brown_7804,IT_6781,david.b@example.com_8211,9988776721,Information Tech_3498,B.Tech_6302
21A91A0501_9884,John Doe_7023,CSE_4108,john.doe@example.com_8649,9876543236,Computer Science_4634,B.Tech_7631
21A91A0502_1246,Jane Smith_7445,ECE_5425,jane.smith@example.com_3269,8765432187,Electronics_9940,B.Tech_7681
21A91A0501_3614,John Doe_3070,CSE_2201,john.doe@example.com_9813,9876543219,Computer Science_3177,B.Tech_7659
21A91A0401_9884,Mike Johnson_1663,ME_7477,mike.j@example.com_3411,7654321124,Mechanical_7057,M.Tech_2020
22A95A0101_3298,Sarah Wilson_7292,CE_5570,sarah.w@example.com_4757,6543211054,Civil_1299,B.Tech_6936
21A91A0401_3257,Mike Johnson_5410,ME_9665,mike.j@example.com_8298,7654321182,Mechanical_7028,M.Tech_1417
22A95A0101_3560,Sarah Wilson_9704,CE_1252,sarah.w@example.com_4138,6543211038,Civil_4865,B.Tech_1687
21A91A0501_1971,John Doe_1857,CSE_9369,john.doe@example.com_3700,9876543214,Computer Science_7628,B.Tech_1751
21A91A1205_3807,David Brown_5210,IT_6250,david.b@example.com_6814,9988776666,Information Tech_3153,B.Tech_1685
21A91A0401_9172,Mike Johnson_4981,ME_4573,mike.j@example.com_5886,7654321123,Mechanical_2851,M.Tech_5180
21A91A0501_3725,John Doe_7606,CSE_5861,john.doe@example.com_8842,9876543296,Computer Science_1997,B.Tech_6516
21A91A0501_2377,John Doe_9587,CSE_5832,john.doe@example.com_4784,9876543228,Computer Science_9847,B.Tech_2474
21A91A1205_5451,David Brown_2359,IT_2786,david.b@example.com_3230,9988776722,Information Tech_8610,B.Tech_1626
21A91A0501_7288,John Doe_9642,CSE_4791,john.doe@example.com_9722,9876543218,Computer Science_2547,B.Tech_8327
21A91A0401_9295,Mike Johnson_9642,ME_5764,mike.j@example.com_6785,7654321173,Mechanical_8012,M.Tech_4421
21A91A1205_7384,David Brown_6233,IT_3979,david.b@example.com_2460,9988776713,Information Tech_4380,B.Tech_2114
21A91A1205_4665,David Brown_5883,IT_7683,david.b@example.com_2789,9988776706,Information Tech_2202,B.Tech_9401
21A91A0502_5339,Jane Smith_5318,ECE_6551,jane.smith@example.com_9132,8765432188,Electronics_4622,B.Tech_3646
21A91A1205_2133,David Brown_4081,IT_6992,david.b@example.com_7978,9988776689,Information Tech_3191,B.Tech_8621
21A91A1205_5941,David Brown_1465,IT_3224,david.b@example.com_9316,9988776753,Information Tech_5259,B.Tech_7782
21A91A0501_2777,John Doe_4755,CSE_8164,john.doe@example.com_9285,9876543296,Computer Science_8776,B.Tech_8545
21A91A1205_8225,David Brown_1446,IT_5026,david.b@example.com_8575,9988776670,Information Tech_1102,B.Tech_9694
21A91A0401_7379,Mike Johnson_5796,ME_7198,mike.j@example.com_9460,7654321145,Mechanical_8723,M.Tech_6558
21A91A0501_2718,John Doe_2710,CSE_7235,john.doe@example.com_1982,9876543256,Computer Science_5311,B.Tech_9187
22A95A0101_4809,Sarah Wilson_5185,CE_2937,sarah.w@example.com_5733,6543211012,Civil_4182,B.Tech_2117
22A95A0101_9713,Sarah Wilson_7749,CE_4746,sarah.w@example.com_3990,6543210994,Civil_5393,B.Tech_3997
21A91A0502_3807,Jane Smith_4292,ECE_4938,jane.smith@example.com_2454,8765432123,Electronics_5044,B.Tech_7696
22A95A0101_9664,Sarah Wilson_9933,CE_4100,sarah.w@example.com_4965,6543210989,Civil_7623,B.Tech_7912
21A91A0501_7910,John Doe_8496,CSE_7064,john.doe@example.com_4374,9876543298,Computer Science_3085,B.Tech_9164
22A95A0101_9763,Sarah Wilson_5197,CE_3834,sarah.w@example.com_9488,6543211030,Civil_6234,B.Tech_2629
21A91A1205_5992,David Brown_4838,IT_3731,david.b@example.com_3886,9988776731,Information Tech_1936,B.Tech_1596
21A91A1205_3732,David Brown_3227,IT_5136,david.b@example.com_8836,9988776747,Information Tech_3615,B.Tech_3129
21A91A0501_7858,John Doe_9840,CSE_5828,john.doe@example.com_7114,9876543232,Computer Science_5563,B.Tech_4164
21A91A0502_8664,Jane Smith_3262,ECE_9935,jane.smith@example.com_2186,8765432142,Electronics_6425,B.Tech_1659
21A91A0401_3668,Mike Johnson_8830,ME_2362,mike.j@example.com_9589,7654321170,Mechanical_1913,M.Tech_1846
21A91A1205_8929,David Brown_9175,IT_3196,david.b@example.com_3356,9988776680,Information Tech_9056,B.Tech_1822
21A91A1205_8195,David Brown_6192,IT_3046,david.b@example.com_9306,9988776698,Information Tech_7098,B.Tech_6284
21A91A0501_4956,John Doe_4866,CSE_2308,john.doe@example.com_4867,9876543267,Computer Science_9559,B.Tech_9808
21A91A0401_3333,Mike Johnson_6015,ME_1256,mike.j@example.com_3423,7654321111,Mechanical_5453,M.Tech_1558
22A95A0101_6074,Sarah Wilson_4063,CE_8290,sarah.w@example.com_1549,6543211062,Civil_7120,B.Tech_3073
21A91A0502_1295,Jane Smith_2711,ECE_3969,jane.smith@example.com_1486,8765432156,Electronics_8381,B.Tech_9929
21A91A0401_9224,Mike Johnson_3529,ME_3800,mike.j@example.com_3481,7654321178,Mechanical_7152,M.Tech_3790
21A91A0502_6067,Jane Smith_7372,ECE_6078,jane.smith@example.com_4123,8765432138,Electronics_2320,B.Tech_4485
21A91A0502_6088,Jane Smith_8574,ECE_2993,jane.smith@example.com_4456,8765432193,Electronics_7303,B.Tech_9054
22A95A0101_7089,Sarah Wilson_2292,CE_7893,sarah.w@example.com_9848,6543211048,Civil_7552,B.Tech_6872
21A91A0502_4433,Jane Smith_5800,ECE_2460,jane.smith@example.com_8538,8765432175,Electronics_5819,B.Tech_6534
21A91A0401_1931,Mike Johnson_1167,ME_5507,mike.j@example.com_8220,7654321161,Mechanical_3415,M.Tech_9884
21A91A0502_2814,Jane Smith_1905,ECE_6861,jane.smith@example.com_9457,8765432204,Electronics_6991,B.Tech_1575
21A91A1205_6938,David Brown_9004,IT_8055,david.b@example.com_2434,9988776752,Information Tech_8701,B.Tech_7989
21A91A1205_5848,David Brown_1111,IT_5640,david.b@example.com_7588,9988776658,Information Tech_6164,B.Tech_4756
21A91A0401_9297,Mike Johnson_4505,ME_5577,mike.j@example.com_8300,7654321124,Mechanical_9715,M.Tech_1664
21A91A1205_2817,David Brown_7586,IT_9685,david.b@example.com_5269,9988776697,Information Tech_8033,B.Tech_7861
22A95A0101_8094,Sarah Wilson_1223,CE_5639,sarah.w@example.com_6787,6543211084,Civil_7329,B.Tech_7352
21A91A0401_3989,Mike Johnson_3279,ME_5360,mike.j@example.com_9814,7654321182,Mechanical_2136,M.Tech_4260
21A91A0502_3159,Jane Smith_4014,ECE_7203,jane.smith@example.com_3620,8765432125,Electronics_7739,B.Tech_7099
21A91A0502_4643,Jane Smith_2462,ECE_1051,jane.smith@example.com_1491,8765432165,Electronics_6561,B.Tech_3000
22A95A0101_6632,Sarah Wilson_6009,CE_7619,sarah.w@example.com_4032,6543210991,Civil_2075,B.Tech_8789
21A91A0501_9043,John Doe_2454,CSE_9843,john.doe@example.com_9543,9876543267,Computer Science_9281,B.Tech_4703
21A91A0502_3244,Jane Smith_3514,ECE_5087,jane.smith@example.com_6529,8765432118,Electronics_3261,B.Tech_1105
21A91A1205_1657,David Brown_6378,IT_4213,david.b@example.com_1206,9988776719,Information Tech_9539,B.Tech_6855
21A91A0502_4822,Jane Smith_4463,ECE_6178,jane.smith@example.com_9179,8765432166,Electronics_2435,B.Tech_5288
21A91A0401_7330,Mike Johnson_5194,ME_5086,mike.j@example.com_9026,7654321195,Mechanical_9894,M.Tech_7976
21A91A1205_8750,David Brown_6439,IT_7440,david.b@example.com_1616,9988776678,Information Tech_5242,B.Tech_4725
21A91A1205_3270,David Brown_7785,IT_7313,david.b@example.com_8055,9988776675,Information Tech_1952,B.Tech_5074
21A91A0502_5346,Jane Smith_3366,ECE_6071,jane.smith@example.com_6450,8765432127,Electronics_3205,B.Tech_6138
21A91A0501_9059,John Doe_4745,CSE_9976,john.doe@example.com_6753,9876543256,Computer Science_6478,B.Tech_4355
21A91A0401_4203,Mike Johnson_3361,ME_6206,mike.j@example.com_9599,7654321114,Mechanical_5967,M.Tech_8693
22A95A0101_8332,Sarah Wilson_7694,CE_5758,sarah.w@example.com_9622,6543211018,Civil_7547,B.Tech_7821
21A91A0501_5938,John Doe_9697,CSE_2529,john.doe@example.com_2607,9876543251,Computer Science_7891,B.Tech_5494
21A91A0401_7512,Mike Johnson_7851,ME_1803,mike.j@example.com_5316,7654321126,Mechanical_3327,M.Tech_8862
21A91A0401_5862,Mike Johnson_3888,ME_6834,mike.j@example.com_3021,7654321171,Mechanical_7474,M.Tech_6072
21A91A1205_3445,David Brown_6435,IT_2957,david.b@example.com_9864,9988776669,Information Tech_2428,B.Tech_7444
21A91A0501_9222,John Doe_6195,CSE_2489,john.doe@example.com_2041,9876543286,Computer Science_6093,B.Tech_8598
21A91A1205_8407,David Brown_8142,IT_1457,david.b@example.com_3535,9988776690,Information Tech_1596,B.Tech_8703
21A91A0501_9731,John Doe_4702,CSE_4447,john.doe@example.com_6464,9876543246,Computer Science_2317,B.Tech_1605
21A91A0501_2688,John Doe_4681,CSE_2475,john.doe@example.com_8344,9876543232,Computer Science_6277,B.Tech_1555
21A91A0401_3119,Mike Johnson_1191,ME_8769,mike.j@example.com_7349,7654321119,Mechanical_9298,M.Tech_5004
21A91A0401_3652,Mike Johnson_3132,ME_3410,mike.j@example.com_1249,7654321179,Mechanical_7281,M.Tech_5315
21A91A1205_8012,David Brown_3705,IT_7389,david.b@example.com_7389,9988776710,Information Tech_3074,B.Tech_4018
22A95A0101_4761,Sarah Wilson_3713,CE_2049,sarah.w@example.com_1903,6543211084,Civil_8490,B.Tech_5301
21A91A0501_2853,John Doe_5888,CSE_6962,john.doe@example.com_2252,9876543246,Computer Science_7580,B.Tech_8769
21A91A0401_2320,Mike Johnson_2510,ME_9792,mike.j@example.com_4594,7654321109,Mechanical_6786,M.Tech_2983
21A91A0502_6076,Jane Smith_7618,ECE_9202,jane.smith@example.com_2721,8765432201,Electronics_4366,B.Tech_8839
21A91A0502_5278,Jane Smith_3228,ECE_5919,jane.smith@example.com_6757,8765432177,Electronics_7123,B.Tech_5419
22A95A0101_5569,Sarah Wilson_2240,CE_3809,sarah.w@example.com_2877,6543211066,Civil_2643,B.Tech_4537
21A91A1205_7964,David Brown_1344,IT_3878,david.b@example.com_1843,9988776660,Information Tech_6114,B.Tech_1153
21A91A0401_4424,Mike Johnson_3215,ME_3246,mike.j@example.com_5207,7654321167,Mechanical_8065,M.Tech_5726
21A91A0502_3369,Jane Smith_8863,ECE_4570,jane.smith@example.com_7374,8765432113,Electronics_9847,B.Tech_5766
21A91A0401_3627,Mike Johnson_8976,ME_9595,mike.j@example.com_6870,7654321133,Mechanical_8601,M.Tech_7222
21A91A0501_4893,John Doe_5041,CSE_1802,john.doe@example.com_1614,9876543292,Computer Science_5997,B.Tech_4045
21A91A0502_9287,Jane Smith_8219,ECE_9024,jane.smith@example.com_3730,8765432143,Electronics_7500,B.Tech_8653
22A95A0101_3596,Sarah Wilson_8689,CE_2436,sarah.w@example.com_6048,6543211015,Civil_9355,B.Tech_3061
22A95A0101_3595,Sarah Wilson_8600,CE_7393,sarah.w@example.com_7632,6543211035,Civil_9464,B.Tech_1426
21A91A0501_7993,John Doe_5339,CSE_5071,john.doe@example.com_7694,9876543266,Computer Science_4329,B.Tech_5246
21A91A0501_9538,John Doe_4883,CSE_6805,john.doe@example.com_1780,9876543221,Computer Science_1124,B.Tech_3232
22A95A0101_6586,Sarah Wilson_3350,CE_6370,sarah.w@example.com_1188,6543211047,Civil_6252,B.Tech_5115
22A95A0101_2907,Sarah Wilson_7591,CE_6869,sarah.w@example.com_5920,6543211009,Civil_9704,B.Tech_8671
21A91A1205_7509,David Brown_6300,IT_9998,david.b@example.com_2829,9988776704,Information Tech_6290,B.Tech_5349
21A91A0401_6845,Mike Johnson_7869,ME_6181,mike.j@example.com_5652,7654321163,Mechanical_9635,M.Tech_7932
21A91A1205_1703,David Brown_4914,IT_3430,david.b@example.com_8356,9988776679,Information Tech_8403,B.Tech_9379
22A95A0101_9338,Sarah Wilson_1050,CE_3384,sarah.w@example.com_6320,6543211031,Civil_5761,B.Tech_3759
21A91A0401_1416,Mike Johnson_4610,ME_9756,mike.j@example.com_3865,7654321146,Mechanical_5470,M.Tech_7033
22A95A0101_4474,Sarah Wilson_8432,CE_7005,sarah.w@example.com_7039,6543211082,Civil_8986,B.Tech_8212
